V1	V7	V8	Freq	MYA	Group
Eutheria	Arthur1B	DNA	1	99.2	Mammalia
Eutheria	Arthur1C	DNA	1	99.2	Mammalia
Eutheria	Chap1_Mam	DNA	2	99.2	Mammalia
Eutheria	Chap1a_Mam	DNA	1	99.2	Mammalia
"Metatheria, Eutheria"	Charlie1	DNA	4	160	Mammalia
Eutheria	Charlie10	DNA	2	99.2	Mammalia
Eutheria	Charlie10a	DNA	1	99.2	Mammalia
Eutheria	Charlie15a	DNA	4	99.2	Mammalia
Eutheria	Charlie15b	DNA	1	99.2	Mammalia
Eutheria	Charlie16	DNA	1	99.2	Mammalia
Eutheria	Charlie17a	DNA	3	99.2	Mammalia
Eutheria	Charlie18a	DNA	1	99.2	Mammalia
Eutheria	Charlie1a	DNA	4	99.2	Mammalia
Eutheria	Charlie1b	DNA	4	99.2	Mammalia
Eutheria	Charlie25	DNA	1	99.2	Mammalia
Eutheria	Charlie29b	DNA	2	99.2	Mammalia
Eutheria	Charlie2a	DNA	1	99.2	Mammalia
Eutheria	Charlie2b	DNA	3	99.2	Mammalia
Simiiformes	Charlie3	DNA	1	42.9	Primate
Mammalia	Charlie30a	DNA	1	180.1	Mammalia
Eutheria	Charlie31a	DNA	1	99.2	Mammalia
"Metatheria, Eutheria"	Charlie4	DNA	1	160	Mammalia
Eutheria	Charlie4a	DNA	1	99.2	Mammalia
Eutheria	Charlie4z	DNA	5	99.2	Mammalia
"Metatheria, Eutheria"	Charlie7	DNA	1	160	Mammalia
Eutheria	Charlie7a	DNA	3	99.2	Mammalia
Eutheria	Charlie8	DNA	5	99.2	Mammalia
Eutheria	Charlie9	DNA	1	99.2	Mammalia
Eutheria	Cheshire	DNA	1	99.2	Mammalia
Amniota	Eulor8	DNA	1	319	Amniota
Eutheria	EuthAT-2	DNA	2	99.2	Mammalia
Eutheria	Eutr11	DNA	1	99.2	Mammalia
Eutheria	Eutr15	DNA	1	99.2	Mammalia
Eutheria	EutTc1-N2	DNA	1	99.2	Mammalia
Theria_mammals	hAT-4b_Ther	DNA	1	160	Mammalia
Mammalia	hAT-5_Mam	DNA	1	180.1	Mammalia
Eutheria	hAT-N1_Mam	DNA	1	99.2	Mammalia
Simiiformes	HSMAR1	DNA	1	42.9	Primate
Primates	HSMAR2	DNA	1	73.8	Primate
Eutheria	Kanga1d	DNA	1	99.2	Mammalia
Eutheria	Kanga2_a	DNA	2	99.2	Mammalia
Simiiformes	MADE1	DNA	1	42.9	Primate
Theria_mammals	MamRep137	DNA	2	160	Mammalia
Eutheria	MamRep1879	DNA	2	99.2	Mammalia
Eutheria	MamRep38	DNA	4	99.2	Mammalia
Theria_mammals	MamTip2	DNA	3	160	Mammalia
Theria_mammals	MamTip2b	DNA	2	160	Mammalia
Theria_mammals	MARE4	DNA	1	160	Mammalia
Mammalia	MARE8	DNA	1	180.1	Mammalia
Eutheria	MARNA	DNA	6	99.2	Mammalia
Eutheria	MER102a	DNA	4	99.2	Mammalia
Eutheria	MER102b	DNA	5	99.2	Mammalia
Eutheria	MER102c	DNA	4	99.2	Mammalia
Eutheria	MER103C	DNA	4	99.2	Mammalia
Eutheria	MER105	DNA	1	99.2	Mammalia
Eutheria	MER112	DNA	1	99.2	Mammalia
Eutheria	MER113	DNA	7	99.2	Mammalia
Eutheria	MER113A	DNA	2	99.2	Mammalia
Eutheria	MER115	DNA	1	99.2	Mammalia
